AL;male;Very strange The angle  The high angle shot on the And smooth Almost no movement  back Right  This just glided along Do you always sleep here In this You're a musician to Renee What do you mean by that Why not Anybody else have a key to the house Maid  Relative  If anything else happens you'll call us You don't remember being awakened  It Has anyone made any threats to either of We'll see that the patrol of the house is Why not We'll find out Mrs Madison Now we'll see what this son of a bitch is Yeah Laurent What a fuckin' job Ours Ed It's her all right  Fred Madison's  We've got Pete Dayton's prints all over What's that Ed
JOYCE;female;Howdy George I don't know if I can watch this You talking to me or her
MARIAN;male;How could I miss it  The TV won't quit Andy's from Utah  He says there you have  Andy would go for this don't you  The heart I guess Oh that's hot So you'd rather be You might be right Raquel
HENDERSON;male;
BILL;male;The wife killer His condition  What do you mean hesitates Was he in a fight That doesn't sound like Pete No Only what was in the news Sometimes he stays at a friend's A girl's a buddy's  I don't know  He's  standing up Then he's coming home with his mother and Just rest easy Pete You're gonna be Where's Pete You talk to him How're you feelin' Arnie called this morning while you were  Nice to know they can't seem to get along You really don't remember the other The night before you showed up in the Do ya good Sit down a minute Sit down The police called us They wanted to know if we'd had a chance  You came home  Your friend Sheila Yes there was a man with you She  Never saw him before in my life We're not saying anything about that  Why don't you two come inside and talk  Sheila  Sheila Don't
CLAIRE;female;How is this possible Warden I saw him before he went to the garage  But what is the cause then  And how I wouldn't know how When he went to work right He didn't come home I want to see him tenderly Pete what happened to you worried Are you hungry honey  I'll fix you Coming up I'm in the kitchen Out in back urgent Do you remember What's the matter whispers We know that Pete There's a man on the phone  He's He won't give his name
SHEILA;female;Hey  Where have you been I missed you Yeah What are you guys doin' You want some company Why haven't you called me whispering whispering Last time I saw you You sure weren't acting like the Pete You were acting like a different person I don't know You really don't remember It was weird I don't want to talk about it No I really don't want to talk about What do you want I don't know Why don't you like me How much Where'd you come from I was I didn't know you cared whispered pain total horror You've been fucking somebody else haven't You fuck me whenever you want You What's the BITCH'S name YOU'RE SORRY YOU'RE SORRY YOU PIECE OF SHIT FUCK YOU FUCK YOU to Pete to Bill I don't care anyway I'm sorry Mr 
ARNIE;male;Wonderful Wonderful to see you Wonderful Pete  Really wonderful   Mr Smith has been waiting for you and Mr Eddy's called every day Can I call
PHIL;male;Why'd you change it  I liked that
ALICE;female;Hi I'm Alice Wyatt I was here yesterday How would you like to take me to dinner Okay then I'll take you to dinner Where's your phone  I have to call into phone Why don't we just skip dinner7 whispers whispers Can I call you kissing him fear I don't recognize the car phone voice I can't see you tonight I have to go somewhere with Mr Eddy I think he suspects something I'll call you again Meet me at the Starlight Motel on  Up here Come on He'll kill us I'm not positive but he knows I don't know No no I used to No honey It was part of the deal He works for Mr Eddy He makes films for Mr Eddy Yeah Pete Don't It was a long time ago I met someone  No A job I didn't know what  He  voiceover If you want me to go away I'll go away whispers So should I call Andy That's his nameAndy  Our ticket out I'll set it up for tomorrow night   Lemme call him now  Make sure he's not Andy It's me Alice  How ya doin 'Cause that's how long it's gonna take Are you kidding I've got so much on I'm not goin' home tonight  I'm goin' This and this Are you gonna be a man about this Pete You got him amazement  no feeling You killed him It was an accident Accidents happen pushing back That's me Up the stairs  down the hall Don't you trust me Pete Come on baby You drive Come on We'll have to wait So we can be together You still want You'll never have me
GRAHAM;male;   sits in the chair He wants a cigarette He doesn't take              
MOLLY;female;   
CRAWFORD;male;  is staring at Graham's blankness
REBA;female;   
TINA;female;
HERB;male;Why did you want to go to breakfast if To Denny's I wasn't going to say Okay Why this Denny's Go ahead Oh boy Okay so you had a dream about this So you came to see if he's out there Right then Dan  Dan You all right  Dan
BETTY;female;Thank you Irene I was so excited and smiling Okay I will Thanks again smiling excitedly I am Mrs Lanois It is Mrs Lanois Pleased to meet you Okay Coco Yes he is He raises corn Well I  I Have many famous actors and actresses I guess I've come to quite a place No I don't I can hardly wait Coco It's unbelievable Wow Oh Coco thank you Thank you so much Oh my I'm Ruth's niece My name's Betty I'm I understand I saw the dress II'm Are you okay Oh my god I'm sorry I'll let you get Hido you work with my Aunt II meanIit's none of my She sure is She's letting me stay here Oh But this could be serious If you have a concussion you shouldn't All right butI'm going to check on No Grandpa you wouldn't believe it What is it Rita What's wrong What do you mean You're Rita This is your purse Your name must be in Open it Well  what do you think about then I Well  if you don't remember anything I How do you remember how to talk You don't remember anything else The money You don't know where it came When you think about them the I wonder where you were going Mulholland Drive Maybe that's where the accident was We could call anonymously from a pay Just to see if there was an accident on Come on let's find you something to It's terrible  My Aunt dresses like Miss Hollywood Police Department please No no I just want the number I'm inquiring about an accident that Hi I'm inquiring well I heard a Can you tell me what happened Was anyone hurt There was an accident He wouldn't tell Not that I can see Just the coffee Rita you want We'll take our check You're welcome We will Strange to be calling yourself Call the number Maybe the voice isn't Diane Selwyn It's right about here on Sierra Bonita What's wrong with that I know you're afraid of something We'll It'll be okay Ruth's gone on a film I'm her niece I'm her niece She's letting me stay I'm sorry but I don't know who you are Whoa "You're still here" angrily "My parents are right upstairs They "I can call them I can call my dad " "You're playing a dangerous game here furious "Stop Just Stop That's what you said "Before I kill you" Cry cry cry and then I say with big Thank you dahling Oh no wonder I'm starving I'm going to You've got to eat something You're just I was afraid of that slowly deliberately Cocoshe's very nice We went to Not really I met her in junior college You're really something Cocothank you slightly forcing a broad I hope I'm back in a couple of hours When I get back I'll have the cab Sorry to trouble you Coco No no I'm on my way to my audition Thanks Coco It'd be so embarrassing Thanks Coco I'll let you know Right See ya To my audition Wally Brown smiling Yes Sir Betty Elms Thank you thank you very much Thank you My name is Betty Elms I'm here to Yes Very pleased to meet you Pleased to meet you Hi No no I'm fine Okay What Betty You're still here Nobody wants you here My parents are right upstairs They I can call them I can call my dad almost a hot whisper whispering desperately  Stop just stop That's what you said as she kisses him  whispers I hate you I hate us both Well there it was Well thank you Thank you again Mr Brown It was nice They seem very nice to me and Oh  ohI have to be somewhere I C'mom There's nothing to be afraid of Sol And what's your name whispering Why didn't you ask him Sol knows you You're not going to get in trouble It should be around here What is it What do you see Do you know them to driver Selwyn  number 12 Diane But it said #12 Well  we'll leave her a note I guess you're not Diane looking around for anyone PUSH Rita I know what you're doing I know what you have to do but let me do quietly with assurance What are you doing Rita I want you to stay here and you No We shouldn't touch that money We Hey let's introduce the brand new you to Here I am Hollywood My name's Betty
